name,prefecture,city,lv01Nm,link,hyoka,comi,yado,onsen_num,dai,roten,sauna,kinen,kokyu,tanjun,enka,tansan,iou,housya,ryusan,sansei,gantetsu,nisan,youso
和倉温泉,石川県,七尾市,和倉町,http://www.wakura.or.jp,4.03,11910,21,21,21,17,8,21,4,False,True,False,False,False,False,False,False,False,False
平湯温泉,岐阜県,高山市,奥飛騨温泉郷平湯,http://hirayuonsen.or.jp,4.12,4610,23,21,12,19,3,19,1,True,True,True,True,False,False,False,False,False,False
かみのやま温泉,山形県,上山市,葉山,http://kaminoyama-spa.com,4.29,7154,22,20,18,12,4,20,3,True,True,False,False,True,True,False,False,False,False
岩原温泉,新潟県,湯沢町,大字土樽,http://yuzawa.jp,4.00,774,22,20,14,2,2,17,1,True,True,False,True,False,False,False,False,False,False
山代温泉,石川県,加賀市,山代温泉,http://www.yamashiro-spa.or.jp,4.21,12483,21,20,20,20,8,20,2,True,True,False,False,True,True,False,False,False,False
三国温泉,福井県,坂井市,三国町緑ケ丘四丁目,なし,3.99,1585,23,20,9,6,1,19,3,True,True,True,True,False,True,False,False,False,False
皆生温泉,鳥取県,米子市,皆生温泉三丁目,http://www.kaike-onsen.com/index_pc.html,4.16,16888,21,20,18,15,7,20,1,False,True,False,False,False,False,False,False,False,False
湯平温泉,大分県,由布市,湯布院町湯平,http://www.yunohira-onsen.jp,4.74,1601,20,20,4,13,1,19,1,True,True,True,False,False,True,False,False,False,False
湯田中温泉,長野県,山ノ内町,大字平穏,http://www.avis.ne.jp/~yudanaka/,4.23,3767,22,19,15,10,4,19,3,True,True,True,True,False,True,False,False,False,False
昼神温泉,長野県,阿智村,智里,http://hirugamionsen.jp,4.36,7059,19,19,19,14,5,19,2,True,False,False,True,False,False,False,False,False,False
芦原温泉,福井県,あわら市,温泉四丁目,http://awara.info,4.17,16587,20,19,18,16,6,19,2,True,True,False,False,False,False,False,False,False,False
佐津温泉,兵庫県,香美町,香住区訓谷,http://kasumi-kanko.com/stay/sazu/stay_cat_sazu.html,4.54,1071,19,19,6,5,1,18,3,False,True,True,True,True,True,False,False,False,False
霧島温泉,鹿児島県,霧島市,牧園町高千穂,http://kirishimakankou.com,4.41,10234,21,19,9,17,5,19,5,True,True,True,True,False,False,False,False,False,False
熊野本宮温泉郷,和歌山県,田辺市,本宮町川湯,http://www.hongu.jp,4.39,3928,21,19,9,14,0,18,1,True,True,True,True,False,False,False,True,False,False
南知多温泉郷,愛知県,南知多町,大字内海,http://minamichita-kk.com/spa,3.96,3839,25,19,20,13,3,24,1,True,True,True,False,False,False,False,False,False,False
花巻温泉郷,岩手県,花巻市,鉛,なし,4.36,15900,24,19,16,12,6,19,3,True,True,True,True,True,True,False,False,False,False
東山温泉,福島県,会津若松市,東山町大字石山,http://www.aizu-higashiyama.com/index.html,3.94,16900,18,18,16,10,3,18,1,True,True,False,False,True,True,False,False,False,False
尾瀬戸倉温泉,群馬県,片品村,大字戸倉,なし,4.43,1044,20,18,8,0,1,17,0,True,True,False,True,False,False,False,False,False,False
猿ヶ京温泉,群馬県,みなかみ町,猿ヶ京温泉,http://www.sarugakyo-ryokan.com/,4.29,4947,20,18,13,15,1,18,0,True,True,False,False,True,True,False,False,False,False
鴨川温泉,千葉県,鴨川市,西町,http://www.kamogawa-hotel.info,4.22,7573,20,18,14,9,3,19,1,True,True,True,True,False,False,False,False,False,False
三朝温泉,鳥取県,三朝町,大字山田,http://spa-misasa.jp,4.32,6689,20,18,14,11,5,18,1,True,True,True,False,True,True,False,False,False,False
湯田温泉,山口県,山口市,湯田温泉四丁目,http://www.yudaonsen.com,4.20,13265,18,18,14,9,5,18,2,True,False,False,True,False,False,False,False,False,False
鳴子温泉,宮城県,大崎市,鳴子温泉,http://www.naruko.gr.jp,4.05,10009,19,17,14,10,0,17,0,True,True,True,True,True,True,False,False,False,False
湯野浜温泉,山形県,鶴岡市,湯野浜一丁目,http://www.yunohamaonsen.com,4.12,5744,18,17,16,9,5,17,1,True,True,False,False,True,True,False,False,False,False
苗場温泉,新潟県,湯沢町,大字三国,なし,4.19,2028,20,17,10,5,0,20,0,True,True,True,False,True,True,False,False,False,False
山中温泉,石川県,加賀市,山中温泉下谷町,https://www.yamanaka-spa.or.jp,3.99,7306,19,17,15,16,5,17,4,True,False,False,False,True,True,False,False,False,False
熱川温泉,静岡県,東伊豆町,奈良本,http://www.atagawa.net,4.24,6614,17,17,11,13,4,16,1,False,True,False,False,True,True,False,False,False,False
湯原温泉郷,岡山県,真庭市,湯原温泉,http://www.yubara.com,4.30,5535,18,17,10,12,2,17,1,True,False,False,False,False,False,False,False,False,False
八幡平温泉,岩手県,八幡平市,松尾寄木,http://www.hachimantai.or.jp/onsen/search.cgi,4.26,1607,19,16,5,4,2,16,1,True,False,False,True,False,False,False,False,False,False
秋保温泉,宮城県,仙台市太白区,秋保町湯元,http://akiuonsenkumiai.com,4.11,21611,19,16,16,12,7,18,4,False,True,False,True,True,False,False,False,False,False
湯野上温泉,福島県,下郷町,大字湯野上,http://yunokami.com,4.03,1477,23,16,11,12,0,15,1,True,False,False,True,False,False,False,False,False,False
姥子温泉,神奈川県,箱根町,仙石原,なし,4.11,7238,17,16,13,13,5,16,1,True,True,True,True,True,True,False,False,False,False
鹿教湯温泉,長野県,上田市,西内,http://www.kakeyu.or.jp,4.05,2371,20,16,16,11,0,16,0,True,False,False,False,False,False,False,False,False,False
氷見温泉郷,富山県,氷見市,阿尾,https://kitokitohimi.com/site/stay/himionsen.html,4.02,3459,18,16,13,8,1,17,0,True,True,True,False,False,False,False,False,False,False
玉造温泉,島根県,松江市,玉湯町玉造,http://tamayado.com,4.23,12372,17,16,15,14,4,16,2,True,True,False,False,True,True,False,False,False,False
湯田温泉峡,岩手県,西和賀町,湯川,http://www.yamanoideyu.com,4.20,1231,18,16,11,6,0,16,1,True,True,False,False,True,True,False,False,False,False
六日町温泉郷,新潟県,南魚沼市,小栗山,http://www.muikamachi.jp/hotspring/index.html,4.17,1910,22,16,11,7,0,16,0,True,True,False,False,False,False,False,False,False,False
定山渓温泉,北海道,札幌市南区,定山渓温泉東二丁目,http://jozankei.jp,4.17,12490,17,15,13,14,7,15,4,True,True,False,False,False,False,False,False,False,False
肘折温泉,山形県,大蔵村,大字南山,http://hijiori.jp,4.39,2023,19,15,12,5,0,15,1,True,True,True,False,False,False,False,False,False,False
磐梯熱海温泉,福島県,郡山市,熱海町熱海五丁目,http://www.bandaiatami.or.jp,4.27,5825,20,15,12,13,4,15,4,True,False,False,False,False,True,True,False,False,False
いわき湯本温泉,福島県,いわき市,常磐湯本町,http://www.iwakiyumoto.or.jp,4.15,5195,17,15,12,5,1,13,0,True,True,True,True,True,True,False,False,False,False
那須湯本温泉,栃木県,那須町,大字湯本,http://www.nasuonsen.com,4.10,2228,18,15,7,4,0,13,0,True,True,False,True,False,True,True,False,False,False
老神温泉,群馬県,沼田市,利根町老神,http://www.oigami.net,4.20,4548,17,15,10,12,2,15,0,True,False,True,True,False,False,False,False,False,False
修善寺温泉,静岡県,伊豆市,修善寺,http://shuzenji.info,4.51,4605,18,15,12,11,4,13,6,True,False,False,False,False,False,False,False,False,False
堂ヶ島温泉,静岡県,西伊豆町,仁科,なし,4.46,6086,16,15,7,8,1,15,2,True,False,False,False,False,True,False,False,False,False
稲取温泉,静岡県,東伊豆町,稲取,http://www.inatorionsen.or.jp,4.35,6111,15,15,11,9,5,14,2,True,True,False,False,False,False,False,True,False,False
天ヶ瀬温泉,大分県,日田市,天瀬町湯山,http://www.okaeriamagase.com,4.32,1211,21,15,8,13,0,14,2,True,True,True,True,False,False,False,False,False,False
登別温泉,北海道,登別市,登別温泉町,http://www.noboribetsu-spa.jp/?lang=ja,4.23,13471,16,14,13,13,6,14,3,False,True,False,True,True,True,True,True,False,False
瀬波温泉,新潟県,村上市,瀬波温泉二丁目,http://www.senami.or.jp,4.23,8050,15,14,11,9,3,14,0,False,True,False,False,False,False,False,False,False,False
小浜温泉,長崎県,雲仙市,小浜町北本町,https://obama.or.jp/,4.21,3197,18,14,12,10,1,14,0,True,True,False,False,False,False,False,False,False,False
杖立温泉,熊本県,日田市,天瀬町出口,http://tsuetate-onsen.com,4.33,2710,19,14,9,7,10,12,1,True,True,True,False,False,False,False,False,False,False
洞爺湖温泉,北海道,壮瞥町,字洞爺湖温泉,http://www.laketoya.com,3.97,12106,14,13,12,11,6,13,0,True,True,True,False,True,True,False,False,False,False
