都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(m),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(ﾏｯﾍ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na＋,Ｋ＋,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
栃木県,真岡市台町,140,0,10,36,26,20,,井戸,用水,100,,,16.5,,,6.8,7,,,,,122,,,8.2,,,,,,,0.2,3.6,7.3,,,,,,,0.37,,,,,,4.2,,,,0.05,,,,,0,,,,,69.6,,,,,,,,,39,,,,,9,,,,0.16,,,1959-05-20 00:00:00,"茨城県工業用水源地域調査報告,地調月報,1960"
栃木県,真岡市,140,0,30,36,26,0,,井戸,用水,61,,,,,,7,7.2,,,,,102,,,1.2,,,,,,,0.1,4.3,7.7,,,,,,,0,,,,,,4.2,,,,0.01,,,,,0,,,,,63.5,,,,,,,,,36,,,,,5,,,,0.07,,,1959-05-20 00:00:00,"茨城県工業用水源地域調査報告,地調月報,1960"
栃木県,黒磯町,,,,,,,,井戸,用水,35,,,,,,7.1,,,,,,,,,,,,7.4,2.1,,,0,2.2,6.1,,,,,,,0.13,,,,,,2.2,,,,0,,,,,6.1,,,,,29.9,,,,,,,,,21.8,,,,,,,,,0.04,,,1963-06-25 00:00:00,"那須野カ原の工業用水源,地調月報,1964"
栃木県,大田原市,,,,,,,,井戸,用水,50,,,,,,7.1,,,,,,,,,,,,10.7,1.9,,,0,3.8,15.4,,,,,,,0.04,,,,,,12.4,,,,0,,,,,22.6,,,,,43.934,,,,,,,,,36.5,,,,,,,,,0.01,,,1963-06-25 00:00:00,"那須野カ原の工業用水源,地調月報,1964"
栃木県,大田原市,,,,,,,,井戸,用水,100,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963-06-25 00:00:00,"那須野カ原の工業用水源,地調月報,1964"
栃木県,宇都宮市,,,,,,,,井戸,用水,,,,16.5,,,6.8,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"宇都宮東部の地下水について,宇都宮大教育学部紀要,1974"
栃木県,宇都宮市,,,,,,,,井戸,用水,,,,16.5,,,6.7,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"宇都宮東部の地下水について,宇都宮大教育学部紀要,1974"
栃木県,宇都宮市,,,,,,,,井戸,用水,,,,16,,,6.6,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"宇都宮東部の地下水について,宇都宮大教育学部紀要,1974"
栃木県,宇都宮市,140,1,10,36,35,10,,井戸,用水,,,,19,,,7.25,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"宇都宮東部の地下水について,宇都宮大教育学部紀要,1974"
栃木県,宇都宮市,140,1,20,36,34,20,,井戸,用水,,,,16.5,,,6.8,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"宇都宮東部の地下水について,宇都宮大教育学部紀要,1974"
栃木県,宇都宮市,140,4,10,36,31,30,,井戸,用水,,,,16.5,,,7,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"宇都宮東部の地下水について,宇都宮大教育学部紀要,1974"
栃木県,那須湯本温泉,,,,,,,,不明,温泉・鉱泉,,,,69.9,,,1.5,,,,,2723,,,,,15,0.01,22.2,7.1,,,3.1,30.5,63.6,,,85.2,0.32,27.5,0,,,,,,0.355,168.8,0,0,,0,0,,,,602,,,,,,,,,,,,,,,,232,,34.5,66,,,,,,,1948-09-17 00:00:00,"温泉の化学成分,温泉科学,1978"
栃木県,河内郡上三川町本郷中学校,139,56,30,36,27,40,,井戸,観測井,115,,,17.2,,,7.9,7.9,,,,,187,,,0.8,,,26.5,5.7,,,0.12,2.2,11.6,,,,0.04,,,0.12,,,,,,8.9,,,,0.37,0.22,,,,7.6,,,,,105,,,,,,,,,52,,,,,,,,,,,,,"鬼怒川中流地域地下水利用適正化調査報告,工業用水,1981"
栃木県,芳賀郡二宮町掘込二宮町運動公園内,139,55,50,36,21,50,,井戸,観測井,114,,,18,,,7.3,7.5,,,,,132,,,0.2,,,6.8,1.9,,,0,5.1,12.8,,,,0.06,,,0.12,,,,,,6.3,,,,0,1.06,,,,2.4,,,,,73.4,,,,,,,,,53.8,,,,,,,,,,,,,"鬼怒川中流地域地下水利用適正化調査報告,工業用水,1981"
栃木県,小山市大本808豊田北小学校,139,47,20,36,21,20,,井戸,観測井,200,,,19.5,,,7.1,7.4,,,,,121,,,1.2,,,15.9,3.5,,,0.13,3.2,7.6,,,,0.3,,,1.22,,,,,,5.3,,,,0.19,0,,,,2,,,,,78.4,,,,,,,,,45,,,,,,,,,,,,,"鬼怒川中流地域地下水利用適正化調査報告,工業用水,1981"
栃木県,宇都宮市下桑島町瑞穂野中学校内,139,56,20,36,30,30,,井戸,観測井,45,,,16.5,,,6.3,6.7,,,,,195,,,0.3,,,7.4,1.9,,,0,5.3,18.8,,,,0,,,0.03,,,,,,23.1,,,,0,4.6,,,,6.2,,,,,58.8,,,,,,,,,38.5,,,,,,,,,,,,,"鬼怒川中流地域地下水利用適正化調査報告,工業用水,1981"
栃木県,真岡市飯貝478真岡公民館大内分館,140,1,40,36,28,20,,井戸,観測井,120,,,16.5,,,7.3,7.3,,,,,211,,,0.9,,,29,4.9,,,0.21,4.6,5.6,,,,0.23,,,1.15,,,,,,7.5,,,,0,0.31,,,,3,,,,,113,,,,,,,,,61.2,,,,,,,,,,,,,"鬼怒川中流地域地下水利用適正化調査報告,工業用水,1981"
