都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ－Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ－,Ｃｌ－,Ｂｒ－,I－,OH－,ＮＯ２－,ＮＯ３－,ＨＳ－,Ｓ２Ｏ３2－,ＨＳＯ４－,ＳＯ４２－,ＳＯ３２－,Ｈ２ＰＯ４－,ＨＰＯ４２－,ＰＯ４３－,ＨＣＯ３－,ＣＯ３２－,ＨＳｉＯ３－,ＳｉＯ３２－,ＢＯ２－,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ－ＣＯ２,Ｔ－Ａｓ,Ｔ－Ｈｇ,Ｔ－Ｐ,Ｔ－Ｂ,単位,調査日,文献名
山口,秋吉台,131,18,20,34,13,30,,湧泉,用水,,,,,,,,8.1,,,,,,,,,,,4.3,0.47,,,,1.31,54,,,,,,,,,,,,,8.6,,,,,,,,,5.3,,,,,143,,,,,,,,,,,,,,,,,,,,,1978-07-25 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,20,34,13,30,,湧泉,用水,,,17.7,15.4,,,7.6,,,,,,,,,,,,9.1,1.68,,,,1.36,60.1,,,,,,,0.04,,,,,,13.3,,,,,,,,,8.2,,,,,168,,,,,,,,,5.1,,,,,,,,,,,,1973-08-18 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,20,34,13,30,,湧泉,用水,,,17.4,15.9,,,8,,,,,,,,,,,,4.9,0.58,,,,1.35,48,,,,,,,0.13,,,,,,8.7,,,,,,,,,6.7,,,,,148,,,,,,,,,9.9,,,,,,,,,,,,1973-08-08 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,20,34,13,30,,湧泉,用水,,,18,16,,,8,,,,,,,,,,,,4.1,0.69,,,,1.32,45,,,,,,,0.03,,,,,,7.8,,,,,,,,,,,,,,139,,,,,,,,,9.8,,,,,,,,,,,,1973-08-18 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,20,34,13,30,,湧泉,用水,,,19.3,15.4,,,7.6,8.1,,,,,,,,,,,4.1,0.62,,,,1.22,50,,,,,,,0.22,,,,,,7.1,,,,,,,,,6.6,,,,,147,,,,,,,,,6.1,,,,,,,,,,,,1974-08-28 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,20,34,13,30,,湧泉,用水,,,18.6,15.8,,,7.5,,,,,,,,,,,,4.4,0.5,,,,1.33,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,7.3,,,,,,,,,,,,1975-08-08 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,50,34,13,20,,湧泉,用水,,,18.5,14.5,,,7.7,,,,,,,,,,,,4.2,0.42,,,,1.44,52.7,,,,,,,0.03,,,,,,5.7,,,,,,,,,5,,,,,116,,,,,,,,,8,,,,,,,,,,,,1973-08-08 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,50,34,13,20,,湧泉,用水,,,18,14.2,,,7.5,7.8,,,,,,,,,,,4,0.46,,,,1.48,58.4,,,,,,,0.16,,,,,,6,,,,,,,,,6.2,,,,,173,,,,,,,,,6.7,,,,,,,,,,,,1974-08-28 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,50,34,13,20,,湧泉,用水,,,,,,,7.3,,,,,,,,,,,,4.5,0.45,,,,1.55,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,5.5,,,,,,,,,,,,1975-08-10 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,50,34,13,20,,湧泉,用水,,,,14.8,,,7.9,,,,,,,,,,,,4.7,0.46,,,,1.66,50.8,,,,,,,,,,,,,7.2,,,,,,,,,4.8,,,,,164,,,,,,,,,6.7,,,,,,,,,,,,1977-07-27 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,40,34,13,10,,湧泉,用水,,,,15.3,,,7.7,,,,,,,,,,,,4.7,0.58,,,,1.65,44.3,,,,,,,0.06,,,,,,7.8,,,,,,,,,4.9,,,,,121,,,,,,,,,14.6,,,,,,,,,,,,1973-08-08 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,40,34,13,10,,湧泉,用水,,,,15.2,,,7.3,7.8,,,,,,,,,,,4.5,0.62,,,,1.73,45.2,,,,,,,0.12,,,,,,7.5,,,,,,,,,5.2,,,,,146,,,,,,,,,10.3,,,,,,,,,,,,1974-08-28 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,40,34,13,10,,湧泉,用水,,,23,15,,,7.3,,,,,,,,,,,,4.6,0.73,,,,1.7,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,9,,,,,,,,,,,,1975-08-08 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,40,34,13,10,,湧泉,用水,,,,15.3,,,7.7,,,,,,,,,,,,5.1,0.61,,,,1.74,46.1,,,,,,,,,,,,,7.4,,,,,,,,,6.1,,,,,144,,,,,,,,,7.9,,,,,,,,,,,,1977-07-27 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,0,34,13,0,,湧泉,用水,,,,16.7,,,7.6,,,,,,,,,,,,5.4,0.66,,,,1.74,42.6,,,,,,,0.06,,,,,,8.3,,,,,,,,,3.7,,,,,141,,,,,,,,,10.2,,,,,,,,,,,,1973-08-08 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,0,34,13,0,,湧泉,用水,,,,14.8,,,7.7,,,,,,,,,,,,3.2,0.26,,,,1.09,51.5,,,,,,,0,,,,,,6.3,,,,,,,,,2.4,,,,,155,,,,,,,,,4.7,,,,,,,,,,,,1973-08-08 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,0,34,13,0,,湧泉,用水,,,,,,,7.3,,,,,,,,,,,,3.3,0.24,,,,0.96,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,3.4,,,,,,,,,,,,1975-08-10 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
