都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,dis.O2,Free H2S,free CO2,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
佐賀県,鳥栖市,130,31,50,33,23,10,,井戸,用水,,,,20.9,,,8.2,,,,,,,,,0.57,,,14.1,2,,,0.3,0.2,14.2,,,,0,,,0.2,,,,,,13.7,,,,0.12,,,,,5.4,,,,,,,,,,,,,,18,,,,,,,,,,,,1964-11-04 00:00:00,"佐賀・福岡県筑後平野東部地域における工業用地下水源,地調月報,1966"
佐賀県,鳥栖市,130,31,50,33,22,20,,井戸,用水,,,,17.9,,,6.5,7,,,,,,,,0.71,,,18.5,1.8,,,0,2.8,10.3,,,,,0,,0,,,,,,11,,,,0,,,,,5.3,,,,,,,,,,,,,,44.3,,,,,,,,,,,,1964-11-04 00:00:00,"佐賀・福岡県筑後平野東部地域における工業用地下水源,地調月報,1966"
佐賀県,鳥栖市,130,31,40,33,22,30,,井戸,用水,,,,18.5,,,7,7.1,,,,,,,,0.6,,,15.5,1.2,,,0.2,2,8.6,,,,0,0.22,,0.23,,,,,,4.5,,,,0,,,,,2.3,,,,,,,,,,,,,,43.3,,,,,,,,,,,,1964-11-04 00:00:00,"佐賀・福岡県筑後平野東部地域における工業用地下水源,地調月報,1966"
佐賀県,鳥栖市,130,31,0,33,22,50,,井戸,用水,,,,18.6,,,6.9,7.4,,,,,,,,0.83,,,10.8,1.1,,,0.4,3.2,20.7,,,,,,,0.41,,,,,,7.5,,,,,,,,,7.4,,,,,,,,,,,,,,26.4,,,,,,,,,,,,1964-11-04 00:00:00,"佐賀・福岡県筑後平野東部地域における工業用地下水源,地調月報,1966"
佐賀県,鳥栖市,130,31,10,33,22,50,,井戸,用水,,,,18.4,,,8.2,,,,,,,,,0.69,,,16.4,1.2,,,0.4,1.4,20.9,,,,,,,0.18,,,,,,8.4,,,,,,,,,6.6,,,,,,,,,,,,,,26,,,,,,,,,,,,1964-11-04 00:00:00,"佐賀・福岡県筑後平野東部地域における工業用地下水源,地調月報,1966"
佐賀県,鳥栖市,130,31,10,33,22,20,,井戸,用水,,,,17.9,,,6.3,6.8,,,,,,,,0.83,,,16.4,4,,,0.3,4.8,25.3,,,,,0.04,,0.05,,,,,,18.8,,,,0,,,,,33.4,,,,,,,,,,,,,,41.5,,,,,,,,,,,,1964-11-04 00:00:00,"佐賀・福岡県筑後平野東部地域における工業用地下水源,地調月報,1966"
佐賀県,鳥栖市,130,30,10,33,21,50,,井戸,用水,,,,18.5,,,6.4,7,,,,,,,,0.6,,,8.6,2,,,0.3,2.4,11.8,,,,0.1,0.05,,0.06,,,,,,6.1,,,,,,,,,4,,,,,,,,,,,,,,40.7,,,,,,,,,,,,1964-11-04 00:00:00,"佐賀・福岡県筑後平野東部地域における工業用地下水源,地調月報,1966"
佐賀県,鳥栖市,130,31,40,33,20,30,,井戸,用水,40,,,19.2,,,7.7,7.8,,,,,,,,1.87,,,135.2,8,,,0.9,2.8,24.5,,,,0.1,0.08,,0.08,,,,,,51.3,,,,0,,,,,3,,,,,,,,,,,,,,55.9,,,,,,,,,,,,1964-11-04 00:00:00,"佐賀・福岡県筑後平野東部地域における工業用地下水源,地調月報,1966"
佐賀県,鳥栖市,130,30,50,33,20,30,,井戸,用水,,,,21.7,,,7.9,7.9,,,,,,,,1.01,,,135.2,3,,,,0,4.4,,,,,,,0.03,,,,,,134.9,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1964-11-04 00:00:00,"佐賀・福岡県筑後平野東部地域における工業用地下水源,地調月報,1966"
佐賀県,多久温泉,,,,,,,,湧泉,温泉・鉱泉,,,,20.5,1,,5.1,,,1.0042,,6162,,,,,0.01,,44.64,30.29,,,4.25,74.42,286.2,,,116,60,80.05,23.08,,,,,,,28.72,,,,,,,,,112.3,,,,,22.27,,,,,,,,,,,,,,524.5,,,,,,,1963-04-13 00:00:00,"佐賀県の温泉について（第7報）,佐賀県衛研所報,1971"
