都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ－Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ－,Ｃｌ－,Ｂｒ－,I－,OH－,ＮＯ２－,ＮＯ３－,ＨＳ－,Ｓ２Ｏ３2－,ＨＳＯ４－,ＳＯ４２－,ＳＯ３２－,Ｈ２ＰＯ４－,ＨＰＯ４２－,ＰＯ４３－,ＨＣＯ３－,ＣＯ３２－,ＨＳｉＯ３－,ＳｉＯ３２－,ＢＯ２－,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ－ＣＯ２,Ｔ－Ａｓ,Ｔ－Ｈｇ,Ｔ－Ｐ,Ｔ－Ｂ,単位,調査日,文献名
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,13,,,5.9,,,,,,,,,,,,8.4,3.9,,,,2.8,11.9,,,,,,,,,,,,,4.4,,,,,,,,,25.7,,,,,51,,,,,,,,,13.4,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,井戸,地すべり調査井,,,,13.2,,,5.8,,,,,,,,,,,,21.4,6.3,,,,11.7,57.5,,,,,,,,,,,,,38.8,,,,,,,,,34.8,,,,,80.4,,,,,,,,,16.2,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,井戸,地すべり調査井,,,,13.6,,,5.9,,,,,,,,,,,,8.9,1.7,,,,4.9,12.9,,,,,,,,,,,,,8.6,,,,,,,,,22.9,,,,,56.5,,,,,,,,,20.6,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,井戸,地すべり調査井,,,,13,,,6.3,,,,,,,,,,,,9.2,1.6,,,,7.1,18,,,,,,,,,,,,,11.3,,,,,,,,,22.4,,,,,83.2,,,,,,,,,26.6,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,井戸,地すべり調査井,,,,17.2,,,5.9,,,,,,,,,,,,9.2,1,,,,2.6,6.8,,,,,,,,,,,,,7.2,,,,,,,,,25.4,,,,,25.7,,,,,,,,,14.6,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,井戸,地すべり調査井,,,,13.1,,,6.9,,,,,,,,,,,,11.4,2.1,,,,5.4,23.6,,,,,,,,,,,,,15.1,,,,,,,,,26,,,,,66.9,,,,,,,,,21,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,井戸,地すべり調査井,,,,15.9,,,6.1,,,,,,,,,,,,7.3,0.9,,,,1.7,8.2,,,,,,,,,,,,,6.2,,,,,,,,,26,,,,,21.5,,,,,,,,,13.1,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,井戸,地すべり調査井,,,,14.8,,,6.3,,,,,,,,,,,,7.6,1.1,,,,2,7,,,,,,,,,,,,,2.8,,,,,,,,,21.5,,,,,41.8,,,,,,,,,30.2,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,井戸,地すべり調査井,,,,15.8,,,6.2,,,,,,,,,,,,9.7,1.4,,,,3.4,12.1,,,,,,,,,,,,,8.9,,,,,,,,,21.5,,,,,59.9,,,,,,,,,41,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,高島郡マキノ町大字白谷字山田,136,2,39,35,29,47,,井戸,温泉・鉱泉,300,,23.8,17.8,150,,8.4,,,0.9985,,286.4,,,,,,,95.14,1.102,,,0,2.203,9.014,,,,0,0.061,0,,,,,,6.85,7.541,,,0.043,,0.126,,,,7.511,,,,,221.5,3.265,,,0.033,,,,,,,0.226,,0,2.13,,,,,,,1976,"滋賀県下の温泉について（第７報）,滋賀衛環セ所報,1976"
滋賀,愛知郡愛東町百済寺成983-1,,,,,,,,井戸,温泉・鉱泉,750,,13,31.1,170,,9.5,,,0.9984,,204,,,,,,,72.23,0.31,,,0.439,0.001,3.631,,,0,0,0.03,,,,,,,12.22,64.09,,,0.544,,0,,,,1.753,,,,,28.93,5.335,,,1.535,,,,,,,0.838,,,0.022,,,,,,,1978-12-08 00:00:00,"滋賀県下の温泉について（第９報）,滋賀衛環セ所報,1978"
滋賀,高島郡マキノ町奥谷1,136,2,39,35,29,47,,井戸,温泉・鉱泉,215,,13,16.9,60,,8.5,,,0.9983,,230,,,,,,,74.6,1.6,,,,1.8,8.9,,,,,,,,,,,,6.8,6,,,,,,,,,7.5,,,,,176.3,4.2,,,,,,,,,,,,,0.9,,,,,,,1980.4.,"滋賀県下の温泉について（第１０報）,滋賀衛環セ所報,1981"
滋賀,長浜市三ツ矢町,,,,,,,,井戸,観測井,150,,,16,,,7.4,,,,,206,,,,1.3,,,,,,,0,,,,,,,,,0.06,,,,,,5,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,"地下水利用適正化調査に係る地下水位等観測井についての資料,工業用水,1983"
